"Estimate","Std. Error","z value","Pr(>|z|)","Variable"
-22.5966670578616,4.41026934500266,-5.12364785236217,2.9968044794936e-07,"(Intercept)"
0.579501940658117,0.161600926453213,3.58600630192486,0.000335780846864002,"totchol"
0.461882516663743,0.159597756188558,2.89404141821422,0.00380317991787952,"bmi"
0.0733742814377576,0.0271014007465155,2.70739812026843,0.00678128810434167,"systol"
6.44034173910813,2.48842049482492,2.58812437548311,0.00965001302326264,"smoking_c2"
7.38296924734126,2.13513426282511,3.45784776905433,0.000544508966999738,"smoking_c3"
-0.232637583351486,0.202511540136945,-1.14876210607143,0.250654088738496,"totchol:smoking_c2"
-0.345547580856456,0.178422512160939,-1.93668151328779,0.0527842869239896,"totchol:smoking_c3"
-0.00198509534040712,0.00102276574475226,-1.9409090992659,0.0522693041248132,"bmi:systol"
-0.163335285845665,0.0737876362886628,-2.21358609736034,0.0268572645604627,"bmi:smoking_c2"
-0.15635278735503,0.0629706085759301,-2.48294864685164,0.0130299870381412,"bmi:smoking_c3"
